Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Total Heating Rate [W](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Electricity Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 03/17  14:00:00,0.891666667,8.016666667,873,20.00000423,0.0023007,1357.908609,1240.552926,0,4398259.572,4465990.534,3110400
 03/17  15:00:00,1.45,9.591666667,627.1666667,20.00000206,0.002070294,858.5935017,779.017759,0,2762132.419,2804463.932,3110400
 03/17  16:00:00,1.35,8.2,212.0833333,20.00000538,0.001596427,1748.206936,1485.73684,0,5267858.334,5348652.625,2073600
 03/17  17:00:00,0.808333333,7.166666667,80.66666667,20.00000735,0.001538447,2070.464388,1750.193414,0,6205083.591,6300696.289,2073600
 03/17  18:00:00,-0.1,7.033333333,128.5833333,12.05977607,0.001642984,0,0,0,0,0,0
 03/17  19:00:00,-0.891666667,4.075,0,9.25622934,0.001867509,0,0,0,0,0,0
 03/17  20:00:00,-2.091666667,1.383333333,0,7.301287758,0.002040994,0,0,0,0,0,0
 03/17  21:00:00,-3.091666667,0.333333333,0,5.664359767,0.002061036,0,0,0,0,0,0
 03/17  22:00:00,-3.65,1.283333333,0,4.423292806,0.001991571,0,0,0,0,0,0
 03/17  23:00:00,-3.9,2.55,0,3.423649568,0.001915542,0,0,0,0,0,0
 03/17  24:00:00,-4.541666667,4.55,0,2.451615324,0.001694456,0,0,0,0,0,0
 03/18  01:00:00,-5.35,6.325,0,1.431153956,0.001505579,0,0,0,0,0,0
 03/18  02:00:00,-6.241666667,5.066666667,0,0.454218315,0.001431738,0,0,0,0,0,0
 03/18  03:00:00,-7.341666667,5.533333333,0,-0.601741564,0.001347638,0,0,0,0,0,0
 03/18  04:00:00,-8.091666667,6.525,0,-1.536642148,0.00135073,0,0,0,0,0,0
 03/18  05:00:00,-8.3,6.05,0,-2.20743194,0.001371166,0,0,0,0,0,0
 03/18  06:00:00,-8.3,5.508333333,0,-2.692756875,0.001381886,0,0,0,0,0,0
 03/18  07:00:00,-8.3,6.583333333,60.25,-2.916201501,0.001349298,0,0,0,0,0,0
 03/18  08:00:00,-8.3,7.033333333,297,-2.325002806,0.001317693,0,0,0,0,0,0
 03/18  09:00:00,-8.008333333,7.516666667,686.0833333,-0.884767101,0.001271823,0,0,0,0,0,0
 03/18  10:00:00,-7.45,8.1,832.5833333,0.586027524,0.001245343,0,0,0,0,0,0
 03/18  11:00:00,-6.908333333,8.1,958.1666667,1.45264427,0.0012146,0,0,0,0,0,0
 03/18  12:00:00,-6.058333333,8.566666667,918,1.918743537,0.001237314,0,0,0,0,0,0
 03/18  13:00:00,-5.6,8.433333333,854.5,2.295057556,0.001248343,0,0,0,0,0,0
 03/18  14:00:00,-4.9,7.575,647.5,3.186266892,0.001242127,0,0,0,0,0,0
 03/18  15:00:00,-4.108333333,8.191666667,332.3333333,4.239801635,0.001322592,0,0,0,0,0,0
 03/18  16:00:00,-3.9,7.908333333,366.75,4.869125411,0.001426702,0,0,0,0,0,0
 03/18  17:00:00,-3.9,8.483333333,347.9166667,5.130203516,0.001411119,0,0,0,0,0,0
 03/18  18:00:00,-3.9,8.933333333,242.1666667,4.880207573,0.001331558,0,0,0,0,0,0
 03/18  19:00:00,-4.191666667,10.40833333,0,3.478857647,0.00128406,0,0,0,0,0,0
 03/18  20:00:00,-4.75,11.35,0,2.256935213,0.001197278,0,0,0,0,0,0
 03/18  21:00:00,-5.641666667,10.925,0,1.149692783,0.001152652,0,0,0,0,0,0
 03/18  22:00:00,-6.741666667,10.50833333,0,0.04478014,0.001101544,0,0,0,0,0,0
 03/18  23:00:00,-7.55,10.76666667,0,-0.918362941,0.001035125,0,0,0,0,0,0
 03/18  24:00:00,-7.8,10.28333333,0,-1.608697355,0.001045235,0,0,0,0,0,0
 03/19  01:00:00,-8.091666667,10.05,0,-2.197457609,0.001061477,0,0,0,0,0,0
 03/19  02:00:00,-8.941666667,10.3,0,-2.959189542,0.001013079,0,0,0,0,0,0
 03/19  03:00:00,-9.75,9.016666667,0,-3.749298946,0.000956038,0,0,0,0,0,0
 03/19  04:00:00,-10.35,7.75,0,-4.439591032,0.000929299,0,0,0,0,0,0
